{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.00015529063271641576, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 22.73
Episode 200	Average Score: 31.82
Episode 300	Average Score: 38.96
Episode 400	Average Score: 52.56
Episode 500	Average Score: 75.75
Episode 600	Average Score: 113.38
Episode 700	Average Score: 144.44
Episode 800	Average Score: 163.48
Episode 900	Average Score: 166.77
Episode 1000	Average Score: 262.76
Episode 1100	Average Score: 323.99
Episode 1200	Average Score: 373.77
Episode 1300	Average Score: 348.68
Episode 1383	Average Score: 475.61
Environment solved in 1383 episodes!	Average Score: 475.61
