{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.0013201367846448892, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 43.27
Episode 200	Average Score: 79.70
Episode 300	Average Score: 240.64
Episode 400	Average Score: 71.769
Episode 500	Average Score: 104.74
Episode 600	Average Score: 125.79
Episode 700	Average Score: 268.11
Episode 800	Average Score: 105.00
Episode 900	Average Score: 277.27
Episode 923	Average Score: 482.09
Environment solved in 923 episodes!	Average Score: 482.09
