{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.003135937066465582, 'value_learning_rate': 0.001, 'batch_size': 256, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 43.33
Episode 200	Average Score: 34.40
Episode 300	Average Score: 11.46
Episode 400	Average Score: 51.43
Episode 500	Average Score: 86.74
Episode 600	Average Score: 93.116
Episode 700	Average Score: 65.27
Episode 800	Average Score: 67.80
Episode 900	Average Score: 90.80
Episode 1000	Average Score: 135.49
Episode 1100	Average Score: 85.849
Episode 1200	Average Score: 96.42
Episode 1300	Average Score: 150.84
Episode 1400	Average Score: 136.53
Episode 1500	Average Score: 120.94
Episode 1600	Average Score: 87.323
Episode 1700	Average Score: 110.46
Episode 1800	Average Score: 86.066
Episode 1900	Average Score: 33.16
Episode 2000	Average Score: 36.30
Episode 2100	Average Score: 34.86
Episode 2200	Average Score: 37.19
Episode 2300	Average Score: 97.18
Episode 2400	Average Score: 112.07
Episode 2500	Average Score: 97.755
Episode 2600	Average Score: 132.35
Episode 2657	Average Score: 477.81
Environment solved in 2657 episodes!	Average Score: 477.81
