{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100, 'learning_rate': 0.008940686544850621, 'value_learning_rate': 0.001, 'batch_size': 256, 'gamma': 0.99, 'update_period': 64, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 36.29
Episode 200	Average Score: 19.50
Episode 300	Average Score: 14.14
Episode 400	Average Score: 17.36
Episode 500	Average Score: 16.54
Episode 600	Average Score: 23.69
Episode 700	Average Score: 14.97
Episode 800	Average Score: 12.38
Episode 900	Average Score: 23.68
Episode 1000	Average Score: 38.54
Episode 1100	Average Score: 43.82
Episode 1200	Average Score: 9.292
Episode 1300	Average Score: 9.43
Episode 1400	Average Score: 9.32
Episode 1500	Average Score: 9.50
Episode 1600	Average Score: 9.43
Episode 1700	Average Score: 9.36
Episode 1800	Average Score: 9.35
Episode 1900	Average Score: 9.38
Episode 2000	Average Score: 9.25
Episode 2100	Average Score: 9.30
Episode 2200	Average Score: 9.25
Episode 2300	Average Score: 9.33
Episode 2400	Average Score: 9.30
Episode 2500	Average Score: 9.34
Episode 2600	Average Score: 9.40
Episode 2700	Average Score: 9.43
Episode 2800	Average Score: 9.37
Episode 2900	Average Score: 9.22
Episode 3000	Average Score: 9.35
Episode 3100	Average Score: 9.43
Episode 3200	Average Score: 9.27
Episode 3300	Average Score: 9.21
Episode 3400	Average Score: 9.34
Episode 3500	Average Score: 9.24
Episode 3600	Average Score: 9.40
Episode 3700	Average Score: 9.29
Episode 3800	Average Score: 9.43
Episode 3900	Average Score: 9.34
Episode 4000	Average Score: 9.33
Episode 4100	Average Score: 9.39
Episode 4200	Average Score: 9.29
Episode 4300	Average Score: 9.42
Episode 4400	Average Score: 9.35
Episode 4500	Average Score: 9.44
Episode 4600	Average Score: 9.42
Episode 4700	Average Score: 9.37
Episode 4800	Average Score: 9.36
Episode 4900	Average Score: 9.41
Episode 5000	Average Score: 9.31
