{'env': 'cartpole', 'algorithm': 'dueling_dqn', 'use_max': False, 'buffer_size': 100, 'learning_rate': 0.001515489729744819, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 2, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 14.15
Episode 200	Average Score: 10.07
Episode 300	Average Score: 9.583
Episode 400	Average Score: 9.39
Episode 500	Average Score: 9.44
Episode 600	Average Score: 9.40
Episode 700	Average Score: 9.37
Episode 800	Average Score: 9.53
Episode 900	Average Score: 9.42
Episode 1000	Average Score: 9.33
Episode 1100	Average Score: 9.32
Episode 1200	Average Score: 9.35
Episode 1300	Average Score: 9.43
Episode 1400	Average Score: 9.46
Episode 1500	Average Score: 9.31
Episode 1600	Average Score: 9.55
Episode 1700	Average Score: 9.27
Episode 1800	Average Score: 9.34
Episode 1900	Average Score: 9.39
Episode 2000	Average Score: 9.43
Episode 2100	Average Score: 9.41
Episode 2200	Average Score: 9.34
Episode 2300	Average Score: 9.29
Episode 2400	Average Score: 9.42
Episode 2500	Average Score: 9.26
Episode 2600	Average Score: 9.42
Episode 2700	Average Score: 9.45
Episode 2800	Average Score: 9.31
Episode 2900	Average Score: 9.43
Episode 3000	Average Score: 9.48
Episode 3100	Average Score: 9.37
Episode 3200	Average Score: 9.36
Episode 3300	Average Score: 9.35
Episode 3400	Average Score: 9.52
Episode 3500	Average Score: 9.43
Episode 3600	Average Score: 9.37
Episode 3700	Average Score: 9.45
Episode 3800	Average Score: 9.19
Episode 3900	Average Score: 9.47
Episode 4000	Average Score: 9.34
Episode 4100	Average Score: 9.47
Episode 4200	Average Score: 9.36
Episode 4300	Average Score: 9.27
Episode 4400	Average Score: 9.48
Episode 4500	Average Score: 9.33
Episode 4600	Average Score: 9.59
Episode 4700	Average Score: 9.39
Episode 4800	Average Score: 9.28
Episode 4900	Average Score: 9.48
Episode 5000	Average Score: 9.45
Episode 5100	Average Score: 9.46
Episode 5200	Average Score: 9.38
Episode 5300	Average Score: 9.29
Episode 5400	Average Score: 9.39
Episode 5500	Average Score: 9.43
Episode 5600	Average Score: 9.38
Episode 5700	Average Score: 9.37
Episode 5800	Average Score: 9.41
Episode 5900	Average Score: 9.53
Episode 6000	Average Score: 9.31
Episode 6100	Average Score: 9.28
Episode 6200	Average Score: 9.31
Episode 6300	Average Score: 9.39
Episode 6400	Average Score: 9.27
Episode 6500	Average Score: 9.44
Episode 6600	Average Score: 9.26
Episode 6700	Average Score: 9.35
Episode 6800	Average Score: 9.40
Episode 6900	Average Score: 9.33
Episode 7000	Average Score: 9.52
Episode 7100	Average Score: 9.42
Episode 7200	Average Score: 9.60
Episode 7300	Average Score: 9.31
Episode 7400	Average Score: 9.36
Episode 7500	Average Score: 9.42
Episode 7600	Average Score: 9.39
Episode 7700	Average Score: 9.37
Episode 7800	Average Score: 9.35
Episode 7900	Average Score: 9.38
Episode 8000	Average Score: 9.52
Episode 8100	Average Score: 9.41
Episode 8200	Average Score: 9.45
Episode 8300	Average Score: 9.61
Episode 8400	Average Score: 9.38
Episode 8500	Average Score: 9.43
Episode 8600	Average Score: 9.44
Episode 8700	Average Score: 9.37
Episode 8800	Average Score: 9.44
Episode 8900	Average Score: 9.26
Episode 9000	Average Score: 9.42
Episode 9100	Average Score: 9.49
Episode 9200	Average Score: 9.40
Episode 9300	Average Score: 9.46
Episode 9400	Average Score: 9.53
Episode 9500	Average Score: 9.39
Episode 9600	Average Score: 9.39
Episode 9700	Average Score: 9.43
Episode 9800	Average Score: 9.43
Episode 9900	Average Score: 9.47
Episode 10000	Average Score: 9.44
