{'env': 'cartpole', 'algorithm': 'dueling_dqn', 'use_max': False, 'buffer_size': 10000, 'learning_rate': 0.006334657263231575, 'value_learning_rate': 0.001, 'batch_size': 256, 'gamma': 0.99, 'update_period': 16, 'use_baseline': True, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 56.98
Episode 200	Average Score: 244.30
Episode 300	Average Score: 345.57
Episode 400	Average Score: 268.62
Episode 500	Average Score: 264.84
Episode 600	Average Score: 234.89
Episode 700	Average Score: 230.85
Episode 800	Average Score: 130.45
Episode 900	Average Score: 131.79
Episode 1000	Average Score: 200.15
Episode 1041	Average Score: 132.76
[34m[1mwandb[0m: Ctrl + C detected. Stopping sweep.
