{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.001, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': False, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Return: 20.49
Episode 200	Average Return: 22.44
Episode 300	Average Return: 20.01
Episode 400	Average Return: 23.28
Episode 500	Average Return: 22.36
Episode 600	Average Return: 23.47
Episode 700	Average Return: 19.57
Episode 800	Average Return: 21.63
Episode 900	Average Return: 21.98
Episode 1000	Average Return: 22.91
Episode 1100	Average Return: 21.91
Episode 1200	Average Return: 23.01
Episode 1300	Average Return: 22.85
Episode 1400	Average Return: 22.21
Episode 1500	Average Return: 21.41
Episode 1600	Average Return: 21.95
Episode 1700	Average Return: 21.32
Episode 1800	Average Return: 19.70
Episode 1900	Average Return: 22.23
Episode 2000	Average Return: 21.74
Episode 2100	Average Return: 25.45
Episode 2200	Average Return: 21.75
Episode 2300	Average Return: 22.73
Episode 2400	Average Return: 21.35
Episode 2500	Average Return: 21.81
Episode 2600	Average Return: 24.71
Episode 2700	Average Return: 21.35
Episode 2800	Average Return: 20.67
Episode 2900	Average Return: 22.00
Episode 3000	Average Return: 22.07
Episode 3100	Average Return: 22.45
Episode 3200	Average Return: 20.73
Episode 3300	Average Return: 22.89
Episode 3400	Average Return: 22.63
Episode 3500	Average Return: 24.01
Episode 3600	Average Return: 21.76
Episode 3700	Average Return: 23.38
Episode 3800	Average Return: 23.11
Episode 3900	Average Return: 24.54
Episode 4000	Average Return: 21.40
Episode 4100	Average Return: 22.00
Episode 4200	Average Return: 19.87
Episode 4300	Average Return: 20.10
Episode 4400	Average Return: 20.89
Episode 4500	Average Return: 22.00
Episode 4600	Average Return: 21.23
Episode 4700	Average Return: 24.16
Episode 4800	Average Return: 23.85
Episode 4900	Average Return: 23.42
Episode 5000	Average Return: 20.88
