{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.0004550508852735254, 'value_learning_rate': 0.001, 'batch_size': 64, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': False, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Return: 23.51
Episode 200	Average Return: 22.86
Episode 300	Average Return: 22.78
Episode 400	Average Return: 19.95
Episode 500	Average Return: 22.34
Episode 600	Average Return: 23.45
Episode 700	Average Return: 21.40
Episode 800	Average Return: 22.44
Episode 900	Average Return: 21.88
Episode 1000	Average Return: 22.16
Episode 1099	Average Return: 21.55
