2025-04-14 23:35:09,941 INFO    MainThread:12135 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_setup.py:_flush():67] Configure stats pid to 12135
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_setup.py:_flush():67] Loading settings from /Users/rudra_sarkar/.config/wandb/settings
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_setup.py:_flush():67] Loading settings from /Users/rudra_sarkar/Documents/PhD IIT Madras/Intro to RL DA6400/assignment2/wandb/settings
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/rudra_sarkar/Documents/PhD IIT Madras/Intro to RL DA6400/assignment2/wandb/run-20250414_233509-rtvefgbg/logs/debug.log
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/rudra_sarkar/Documents/PhD IIT Madras/Intro to RL DA6400/assignment2/wandb/run-20250414_233509-rtvefgbg/logs/debug-internal.log
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_init.py:init():761] calling init triggers
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.001, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': False, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-pa2', '_wandb': {}}
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_init.py:init():784] starting backend
2025-04-14 23:35:09,942 INFO    MainThread:12135 [wandb_init.py:init():788] sending inform_init request
2025-04-14 23:35:10,706 INFO    MainThread:12135 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-04-14 23:35:10,706 INFO    MainThread:12135 [wandb_init.py:init():798] backend started and connected
2025-04-14 23:35:10,710 INFO    MainThread:12135 [wandb_init.py:init():891] updated telemetry
2025-04-14 23:35:10,742 INFO    MainThread:12135 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-14 23:35:11,539 INFO    MainThread:12135 [wandb_init.py:init():990] starting run threads in backend
2025-04-14 23:35:12,038 INFO    MainThread:12135 [wandb_run.py:_console_start():2375] atexit reg
2025-04-14 23:35:12,038 INFO    MainThread:12135 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-14 23:35:12,039 INFO    MainThread:12135 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-14 23:35:12,039 INFO    MainThread:12135 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-14 23:35:12,042 INFO    MainThread:12135 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-14 23:36:38,118 INFO    MainThread:12135 [wandb_run.py:_finish():2112] finishing run da24d008-iit-madras/rl-pa2/rtvefgbg
2025-04-14 23:36:38,118 INFO    MainThread:12135 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 1
2025-04-14 23:36:38,119 INFO    MainThread:12135 [wandb_run.py:_restore():2322] restore
2025-04-14 23:36:38,119 INFO    MainThread:12135 [wandb_run.py:_restore():2328] restore done
